dataset,num_samples,accuracy,precision,recall,f1
python,28851,0.3944750615229975,0.4409952331124288,0.7888388214904679,0.5657253654171224
python_no_comments,28851,0.49922013101798896,0.49960101307983207,0.9982668977469671,0.6659267480577137
java,22234,0.4276333543222092,0.4609181442798154,0.8534676621390663,0.5985742224465334
aigcodeset,7583,0.47540551233021233,0.4013722126929674,0.8274398868458275,0.5405405405405406
