dataset,num_samples,label_positive_rate,label_negative_rate,predicted_positive_rate,predicted_negative_rate,mean_positive_probability,tn,fp,fn,tp
python,28851,0.49998266957817755,0.5000173304218225,0.49991334789088765,0.5000866521091123,0.5009615445599143,14401,25,27,14398
python_no_comments,28851,0.49998266957817755,0.5000173304218225,0.9859276974801566,0.014072302519843333,0.9854422971503382,402,14024,4,14421
java,22234,0.5,0.5,0.9260591886300261,0.07394081136997391,0.9260611223548529,1642,9475,2,11115
aigcodeset,7583,0.3729394698668073,0.6270605301331926,0.9906369510747726,0.009363048925227482,0.9907976457514299,63,4692,8,2820
