dataset,num_samples,accuracy,precision,recall,f1
python,28851,0.954594294825136,0.9641820627167834,0.944263431542461,0.9541188007845335
python_no_comments,28851,0.8318255866347787,0.7546687948922586,0.9832928942807626,0.8539434075857917
java,22234,0.6497706215705676,0.62397617274758,0.7538004857425564,0.6827718254776551
aigcodeset,7583,0.3968086509297112,0.378276631344116,0.9593352192362093,0.5426
